DateTime,AddedIPs,RemovedIPs
1592634121,27,27
1592635321,73,73
1592636522,87,87
1592637721,95,95
1592638922,87,87
1592639522,27,27
1592640721,68,68
1592641321,29,29
1592642521,82,82
1592643121,18,18
1592643721,45,45
1592644322,43,43
1592644921,22,22
1592645521,20,20
1592646121,57,57
1592646721,55,55
1592647321,45,45
1592647921,29,29
1592648521,35,35
1592649121,24,24
1592649721,37,37
1592650321,9,9
1592651522,61,61
1592652722,33,33
1592653322,25,25
1592653921,26,26
1592654521,8,8
1592655121,34,34
1592655721,11,11
1592656322,27,27
1592656921,27,27
1592657521,24,24
1592658121,7,7
1592658721,13,13
1592659321,41,41
1592659921,10,10
1592660521,16,16
1592661721,29,29
1592662921,11,11
1592664121,22,22
1592665322,70,70
1592665921,22,22
1592666521,92,92
1592667122,36,36
1592667721,46,46
1592668321,40,40
1592668921,29,29
1592669521,41,41
1592670122,45,45
1592670722,63,63
1592671321,55,55
1592671921,36,36
1592672521,76,76
1592673721,79,79
1592674322,40,40
1592675521,78,78
1592676721,91,91
1592677321,35,35
1592677921,91,91
1592678522,40,40
1592679121,83,83
1592679721,39,39
1592680321,79,80
1592680922,41,41
1592681521,34,34
1592682121,55,54
1592682721,42,42
1592683921,90,90
1592684521,96,96
1592685121,70,70
1592685722,70,70
1592686322,35,35
1592686921,50,50
1592687521,29,29
1592688121,26,26
1592689322,77,77
1592690522,79,79
1592691721,92,92
1592692921,97,97
1592694121,91,91
1592695322,79,79
1592695921,76,76
1592696521,62,62
1592697121,57,57
1592697721,66,66
1592698922,97,97
1592700121,94,94
1592701321,98,98
1592701921,35,35
1592702521,37,37
1592703121,14,14
1592703722,99,99
1592704921,96,96
1592706121,88,88
1592707321,84,84
1592707921,68,68
1592708521,53,53
1592709121,62,62
1592709722,51,51
1592710921,94,94
1592711521,40,40
1592712122,78,78
1592712721,51,51
1592714521,88,88
1592715721,50,50
1592716921,73,73
1592717522,60,60
1592718121,84,84
1592718721,37,37
1592719921,56,56
1592720521,33,33
1592721121,42,42
1592722321,98,98
1592722922,44,44
1592724121,80,80
1592725321,35,35
1592726521,65,65
1592727721,51,51
1592728921,49,49
1592729521,59,59
1592730122,8,8
1592730721,97,97
1592731321,96,96
1592732521,93,93
1592733121,29,29
1592733721,19,19
1592734922,40,40
